Timestamp,Value
1777268947.312358,99
1777268947.3127048,122
1777268947.3133335,155
1777268947.314016,162
1777268947.3146322,167
1777268947.3148813,180
1777268947.315197,194
1777268947.315446,207
1777268947.3155909,217
1777268947.315722,220
1777268947.3158505,226
1777268947.3159983,229
1777268947.3161917,227
1777268947.316337,230
1777268947.3164742,227
1777268947.3166022,225
1777268947.3167365,218
1777268947.3169746,215
1777268947.3172472,206
1777268947.3173823,197
1777268947.317493,185
1777268947.3176026,171
1777268947.317835,156
1777268947.3183901,135
1777268947.3186405,111
1777268947.3187706,88
1777268947.3188581,75
1777268947.3191283,57
1777268947.3192668,41
1777268947.3194008,26
1777268947.3202565,12
1777268947.3203664,-5
1777268947.3204496,-17
1777268947.3205738,-32
1777268947.320686,-48
1777268947.3208385,-68
1777268947.3210082,-86
1777268947.3212,-106
1777268947.3213196,-139
1777268947.3217754,-152
1777268947.3227792,-180
1777268947.32329,-205
1777268947.3236554,-224
1777268947.3240867,-228
1777268947.3244941,-229
1777268947.3248637,-230
1777268947.3252919,-223
1777268947.3257065,-213
1777268947.3261049,-199
1777268947.3264246,-178
1777268947.3265233,-151
1777268947.3266654,-108
1777268947.326749,-75
1777268947.326879,-45
1777268947.3269622,-17
1777268947.327029,11
1777268947.3270993,31
1777268947.3271732,56
1777268947.3272483,83
1777268947.3273385,111
1777268947.327424,157
1777268947.3275604,162
1777268947.3276446,179
1777268947.3277447,200
1777268947.3278337,217
1777268947.3279216,223
1777268947.3280032,229
1777268947.3280847,228
1777268947.3281658,228
1777268947.3282468,224
1777268947.3283293,216
1777268947.3284092,204
1777268947.3285296,191
1777268947.3286111,171
1777268947.3286924,146
1777268947.3287745,113
1777268947.3288443,83
1777268947.3289115,59
1777268947.3289824,37
1777268947.3290505,15
1777268947.32912,-8
1777268947.329202,-27
1777268947.3292875,-57
1777268947.32937,-85
1777268947.3295662,-131
1777268947.3297195,-160
1777268947.3298216,-179
1777268947.3299582,-204
1777268947.33006,-222
1777268947.3301597,-228
1777268947.330259,-229
1777268947.3303604,-230
1777268947.3305008,-224
1777268947.3306165,-215
1777268947.3307273,-200
1777268947.330838,-180
1777268947.3309526,-152
1777268947.3310702,-111
1777268947.331173,-76
1777268947.3312776,-48
1777268947.3313763,-18
1777268947.3314607,10
1777268947.3315723,30
1777268947.331662,54
1777268947.3319404,81
1777268947.3325486,109
1777268947.33266,156
1777268947.3327427,162
1777268947.3328276,178
1777268947.333943,199
1777268947.3340666,213
1777268947.3341575,222
1777268947.3342483,230
1777268947.3343508,232
1777268947.3344758,229
1777268947.3346553,225
1777268947.3347607,217
1777268947.3348596,206
1777268947.3349578,192
1777268947.3351104,173
1777268947.3352108,149
1777268947.3353097,115
1777268947.3353915,84
1777268947.3354747,61
1777268947.335556,39
1777268947.3356583,18
1777268947.3357794,-6
1777268947.3358812,-25
1777268947.3359792,-54
1777268947.3360713,-87
1777268947.3361669,-128
1777268947.3362637,-161
1777268947.336363,-177
1777268947.3364618,-202
1777268947.336559,-221
1777268947.3366845,-227
1777268947.3367872,-230
1777268947.3368857,-230
1777268947.3369794,-217
1777268947.3370724,-215
1777268947.3371682,-201
1777268947.337264,-181
1777268947.3373575,-154
1777268947.3374498,-113
1777268947.3375685,-79
1777268947.3376749,-50
1777268947.3377843,-22
1777268947.3378432,6
1777268947.3379252,23
1777268947.3379953,44
1777268947.338065,72
1777268947.3381355,98
1777268947.3382168,133
1777268947.33832,163
1777268947.3384316,169
1777268947.3385434,189
1777268947.3386514,208
1777268947.3387413,222
1777268947.3388674,227
1777268947.3389587,228
1777268947.3390417,230
1777268947.339124,226
1777268947.3392065,218
1777268947.3392909,211
1777268947.3394775,200
1777268947.3396096,182
1777268947.339712,161
1777268947.3398027,132
1777268947.3398771,98
1777268947.3399515,76
1777268947.340024,52
1777268947.3400974,30
1777268947.3402653,7
1777268947.3403533,-8
1777268947.3404806,-30
1777268947.3406227,-59
1777268947.340716,-92
1777268947.3408165,-133
1777268947.3409183,-160
1777268947.3410199,-181
1777268947.3411248,-206
1777268947.341228,-222
1777268947.341332,-229
1777268947.3414922,-220
1777268947.3416505,-230
1777268947.3417552,-223
1777268947.3418548,-213
1777268947.341956,-200
1777268947.3420594,-178
1777268947.3421605,-150
1777268947.3422635,-108
1777268947.3423533,-74
1777268947.342442,-45
1777268947.3425586,-17
1777268947.3426373,11
1777268947.3427253,31
1777268947.3428133,56
1777268947.342895,83
1777268947.3429883,111
1777268947.3430753,156
1777268947.3431985,162
1777268947.343288,179
1777268947.3433747,200
1777268947.3435917,216
1777268947.3436937,222
1777268947.3437812,229
1777268947.3438666,228
1777268947.3439534,228
1777268947.3440428,224
1777268947.3441298,216
1777268947.3442154,206
1777268947.344302,190
1777268947.344389,170
1777268947.3444867,146
1777268947.3445995,112
1777268947.3446784,83
1777268947.3447568,59
1777268947.3448324,37
1777268947.344909,15
1777268947.3449988,-7
1777268947.3451097,-29
1777268947.3452075,-57
1777268947.345301,-90
1777268947.345407,-131
1777268947.3455157,-160
1777268947.34567,-180
1777268947.3457756,-204
1777268947.3459039,-222
1777268947.3460045,-228
1777268947.3462703,-229
1777268947.3464348,-230
1777268947.346566,-223
1777268947.346694,-214
1777268947.346903,-200
1777268947.3470702,-179
1777268947.3472295,-152
1777268947.347361,-110
1777268947.347467,-76
1777268947.3475738,-43
1777268947.347682,-19
1777268947.347757,9
1777268947.3478467,25
1777268947.3479738,46
1777268947.3480897,73
1777268947.3482068,101
1777268947.348306,146
1777268947.3484037,161
1777268947.3485026,174
1777268947.348601,195
1777268947.3487585,213
1777268947.3488972,221
1777268947.3489954,229
1777268947.349085,229
1777268947.3491745,231
1777268947.3492699,226
1777268947.349379,218
1777268947.3494673,209
1777268947.3495529,195
1777268947.3496659,177
1777268947.3497524,154
1777268947.3498478,123
1777268947.34992,91
1777268947.3499966,68
1777268947.3500836,45
1777268947.3501563,23
1777268947.3502154,1
1777268947.3503046,-15
1777268947.3503914,-40
1777268947.3504746,-74
1777268947.350605,-108
1777268947.3508306,-160
1777268947.3510568,-170
1777268947.3512115,-194
1777268947.3514593,-216
1777268947.3516135,-225
1777268947.3517585,-231
1777268947.3518734,-231
1777268947.3520033,-228
1777268947.3521605,-217
1777268947.3523238,-206
1777268947.3524406,-188
1777268947.3525498,-165
1777268947.352658,-128
1777268947.3527577,-88
1777268947.3530602,-59
1777268947.3532677,-32
1777268947.3533628,-5
1777268947.353446,18
1777268947.353606,35
1777268947.3537617,65
1777268947.353857,92
1777268947.3539553,123
1777268947.3540711,163
1777268947.3541722,166
1777268947.354303,184
1777268947.3544054,205
1777268947.3545353,227
1777268947.35466,226
1777268947.3548143,227
1777268947.3549116,229
1777268947.355004,226
1777268947.3550978,220
1777268947.3551893,214
1777268947.3552814,202
1777268947.355375,185
1777268947.3554666,164
1777268947.3555508,138
1777268947.3562622,103
1777268947.3563783,75
1777268947.3564503,55
1777268947.3565228,30
1777268947.3566344,8
1777268947.3567114,-9
1777268947.3567977,-29
1777268947.3568947,-60
1777268947.356992,-91
1777268947.357106,-133
1777268947.3574424,-160
1777268947.3575773,-180
1777268947.358312,-204
1777268947.3586733,-222
1777268947.3589084,-228
1777268947.3591511,-229
1777268947.3592741,-229
1777268947.3593884,-222
1777268947.359506,-214
1777268947.3596203,-199
1777268947.3597946,-172
1777268947.359914,-152
1777268947.3600297,-109
1777268947.3601449,-75
1777268947.3602455,-47
1777268947.3603432,-18
1777268947.3604264,11
1777268947.3605096,32
1777268947.3606484,55
1777268947.3607771,82
1777268947.3608732,111
1777268947.3609633,156
1777268947.3610647,163
1777268947.3611746,188
1777268947.3612666,200
1777268947.3613572,217
1777268947.3614483,223
1777268947.361798,230
1777268947.3619013,229
1777268947.361988,228
1777268947.3620913,224
1777268947.3621817,216
1777268947.3622687,208
1777268947.3623514,191
1777268947.3624456,172
1777268947.3625407,147
1777268947.3626695,113
1777268947.3627558,83
1777268947.362838,59
1777268947.3629208,39
1777268947.3630042,16
1777268947.3630888,-6
1777268947.3631861,-27
1777268947.3632824,-56
1777268947.363379,-89
1777268947.3634875,-131
1777268947.363597,-160
1777268947.3637338,-179
1777268947.36384,-204
1777268947.3639429,-222
1777268947.364053,-228
1777268947.3641741,-229
1777268947.3642788,-230
1777268947.3645246,-222
1777268947.3646872,-215
1777268947.3647985,-200
1777268947.3649037,-180
1777268947.3650126,-153
1777268947.3651206,-111
1777268947.365214,-77
1777268947.3653064,-48
1777268947.3654063,-20
1777268947.3654747,9
1777268947.3655586,25
1777268947.3656838,46
1777268947.3657682,74
1777268947.3658612,100
1777268947.3659525,154
1777268947.3660438,160
1777268947.366149,173
1777268947.366242,193
1777268947.3663306,212
1777268947.3664176,220
1777268947.3665087,228
1777268947.3665988,228
1777268947.366717,230
1777268947.3668084,225
1777268947.3669133,216
1777268947.3670254,208
1777268947.3671148,195
1777268947.3672032,177
1777268947.3672907,154
1777268947.3673995,122
1777268947.3674705,89
1777268947.367543,68
1777268947.3676467,45
1777268947.36772,23
1777268947.3677797,4
1777268947.3678706,-15
1777268947.367955,-40
1777268947.3680396,-74
1777268947.3681493,-108
1777268947.3682542,-161
1777268947.368355,-169
1777268947.368453,-194
1777268947.3685515,-217
1777268947.3686802,-225
1777268947.368781,-232
1777268947.3688798,-230
1777268947.368978,-228
1777268947.369077,-217
1777268947.3691742,-206
1777268947.3692744,-189
1777268947.3696558,-164
1777268947.369758,-120
1777268947.3698425,-89
1777268947.3699272,-58
1777268947.3700113,-31
1777268947.3700929,-5
1777268947.3701663,17
1777268947.3702354,38
